STT		Mã MH	Tên MH	Số tín chỉ	BB/TC	
279		CH6077	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
280		CH6079	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
281		CH6081	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
282		CH6083	Đề án tốt nghiệp	9.0		
283		CH6085	Chuyên đề nghiên cứu trước luận văn	15.0		
284		CH6087	Luận văn thạc sĩ nghiên cứu	15.0		
285		CH6089	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
286		CH6091	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
287		CH6093	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
288		CH6095	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
289		CH7563	Tiểu luận tổng quan	0.0		
290		CH7565	Chuyên đề tiến sĩ - phần 1	0.0		
291		CH7567	Chuyên đề tiến sĩ - phần 2	0.0		
292		CH7569	Luận án tiến sĩ - chuẩn bị	12.0		
293		CH7571	Luận án tiến sĩ - phần 1	15.0		
294		CH7573	Luận án tiến sĩ - phần 2	15.0		
295		CH7575	Luận án tiến sĩ - phần 3	15.0		
296		CH7577	Luận án tiến sĩ - phần 4	15.0		
297		CH7579	Luận án tiến sĩ - phần 5	15.0		
298		CH7581	Tiểu luận tổng quan	0.0		
299		CH7583	Chuyên đề tiến sĩ - phần 1	0.0		
300		CH7585	Chuyên đề tiến sĩ - phần 2	0.0		
301		CH7587	Luận án tiến sĩ - chuẩn bị	12.0		
302		CH7589	Luận án tiến sĩ - phần 1	15.0		
303		CH7591	Luận án tiến sĩ - phần 2	15.0		
304		CH7593	Luận án tiến sĩ - phần 3	15.0		
305		CH7595	Luận án tiến sĩ - phần 4	15.0		
306		CH7597	Luận án tiến sĩ - phần 5	15.0		
307		CH7599	Tiểu luận tổng quan	0.0		
308		CH7601	Chuyên đề tiến sĩ - phần 1	0.0		
309		CH7603	Chuyên đề tiến sĩ - phần 2	0.0		
310		CH7605	Luận án tiến sĩ - chuẩn bị	12.0		
311		CH7607	Luận án tiến sĩ - phần 1	15.0		
312		CH7609	Luận án tiến sĩ - phần 2	15.0		
313		CH7611	Luận án tiến sĩ - phần 3	15.0		
314		CH7613	Luận án tiến sĩ - phần 4	15.0		
315		CH7615	Luận án tiến sĩ - phần 5	15.0		
316		CH7617	Tiểu luận tổng quan	0.0		
317		CH7619	Chuyên đề tiến sĩ - phần 1	0.0		
318		CH7621	Chuyên đề tiến sĩ - phần 2	0.0		
319		CH7623	Luận án tiến sĩ - chuẩn bị	12.0		
320		CH7625	Luận án tiến sĩ - phần 1	15.0		
321		CH7627	Luận án tiến sĩ - phần 2	15.0		
322		CH7629	Luận án tiến sĩ - phần 3	15.0		
323		CH7631	Luận án tiến sĩ - phần 4	15.0		
324		CH7633	Luận án tiến sĩ - phần 5	15.0		
325		CI1067	Vẽ kỹ thuật kiến trúc	3.0		
326		CI1069	Khoa học trái đất	4.0		
327		CI2093	ĐAMH kết cấu bêtông ct1	1.0		
328		CI2101	Đồ án thiết kế cơ sở kt	2.0		
329		CI2103	N/l t/kế k/trúc ct nhà ở	3.0		
330		CI2105	T/kế kt kiến trúc ctdd	3.0		
331		CI2107	T/kế k/trúc 1- ct c/cộng	3.0		
332		CI2109	Thực tập công nhân	2.0		
333		CI2123	Pt địa điểm &kiến tạo nc	3.0		
334		CI2133	Kết cấu thép	3.0		
335		CI2139	Kết cấu bê tông cốt thép	3.0		
336		CI2141	Bản đồ học	3.0		
337		CI2145	Nền móng	4.0		
338		CI2147	Thí nghiệm công trình	1.0		
339		CI2149	Thí nghiệm vật liệu CTGT	1.0		
340		CI2151	Kinh tế xây dựng	3.0		
341		CI2155	Thínghiệm vậtlý kiếntrúc	1.0		
342		CI3043	Kỹ thuật thi công	3.0		
343		CI3163	Phântích thiếtkế kết cấu	3.0		
344		CI3177	ĐAMH kết cấu bê tông ct2	1.0		
345		CI3197	ĐAMH nền móng	1.0		
346		CI3213	ĐAMH kết cấu thép	1.0		
347		CI3217	ĐAMH thicông c/trìnhcảng	1.0		
348		CI3221	ĐAMH thiết kế đường	1.0		
349		CI3231	Kết cấu thép	3.0		
350		CI3241	Cấp thoát nước	3.0		
351		CI3243	Kết cấu công trình btct	3.0		
352		CI3249	Thực tập disản kt &đôthị	2.0		
353		CI3255	Thực tập đovẽ &lập bđ đh	2.0		
354		CI3257	Trắc địa cao cấp	3.0		
355		CI3267	Thủy công	3.0		
356		CI3273	T/kế kiến trúc II - ctcc	3.0		
357		CI3289	Lãnh đạo và khởi nghiệp	3.0		
358		CI3291	Lãnh đạo &quản lý dự án	3.0		
359		CI3295	Thiết kế III - tcq đôthị	3.0		
360		CI3299	T/kế III -ct công nghiệp	3.0		
361		CI4023	Thi công công trình csht	3.0		
362		CI4123	ĐAMH thiết kế cầu	1.0		
363		CI4129	Kinh tế xây dựng	3.0		
364		CI4131	Kết cấu công trình thép	3.0		
365		CI4133	Đồ án chuyên ngành	2.0		
366		CI4137	Thiết kế dựán tốt nghiệp	9.0		
367		CI4141	C/trình cấpthoátnước &tb	3.0		
368		CI4157	Đồ án chuyên ngành	2.0		
369		CI4161	Quy hoạch hạ tầng đô thị	3.0		
370		CI4167	Đồ án chuyên ngành	2.0		
371		CI4169	Đồ án chuyên ngành	2.0		
372		CI4171	Đồ án chuyên ngành	2.0		
373		CI4173	Đồ án chuyên ngành	2.0		
374		CI4175	Đồ án chuyên ngành	2.0		
375		CI4179	Đồ án thiết kế nội thất	2.0		
376		CI4189	Q/hoạch tổ chức thi công	3.0		
377		CI4199	Đồ án chuyên ngành	2.0		
378		CI4201	He Thong C/d Trg Toa Nha	3.0		
379		CI4209	Xu hướng k/trúc cq đ/đại	3.0		
380		CI4221	Đồ án chuyên ngành	2.0		
381		CI4235	Đồ án chuyên ngành	2.0		
382		CI4303	Thiết kế dựán tốt nghiệp	9.0		
383		CI4311	Đề cương luận văn tn	0.0		
384		CI4313	Luận văn tốt nghiệp (cđ)	9.0		
385		CI4315	Đề cương luận văn tn	0.0		
386		CI4317	Luận văn tốt nghiệp	9.0		
387		CI4321	Đề cương luận văn tn	0.0		
388		CI4323	Luận văn tốt nghiệp(qlgt	9.0		
389		CI4325	Đề cương luận văn tn	0.0		
390		CI4327	Luận văn tốt nghiệp(csht	9.0		
391		CI4331	Đề cương luận văn tn	0.0		
392		CI4333	Luận văn tốt nghiệp (ctb	9.0		
393		CI4335	Đề cương luận văn tn	0.0		
394		CI4337	Luận văn tốt nghiệp (ctb	9.0		
395		CI4341	Đề cương luận văn tn	0.0		
396		CI4343	Luận văn tốt nghiệp	9.0		
397		CI4345	Đề cương luận văn tn	0.0		
398		CI4347	Luận văn tốt nghiệp	9.0		
399		CI4351	Đề cương luận văn tn	0.0		
400		CI4353	Luận văn tốt nghiệp (tdi	9.0		
401		CI4355	Đề cương luận văn tn	0.0		
402		CI4357	Luận văn tốt nghiệp	9.0		
403		CI4365	Đề cương luận văn tn	0.0		
404		CI4367	Luận văn tốt nghiệp (vxd	9.0		
405		CI4371	Đề cương luận văn tn	0.0		
406		CI4373	Luận văn tốt nghiệp (ctt	9.0		
407		CI4375	Đề cương luận văn tn	0.0		
408		CI4377	Luận văn tốt nghiệp	9.0		
409		CI4381	Đề cương luận văn tn	0.0		
410		CI4383	Luận văn tốt nghiệp(csht	9.0		
411		CI4391	Đề cương luận văn tn	0.0		
412		CI4393	Luận văn tốt nghiệp (vxd	9.0		
413		CI4417	Đồ án tốt nghiệp	4.0		
414		CI4427	Đồ án tốt nghiệp	4.0		
415		CI4437	Đồ án tốt nghiệp	4.0		
416		CI4447	Đồ án tốt nghiệp	4.0		
417		CI4457	Đồ án tốt nghiệp	4.0		
418		CI4467	Đồ án tốt nghiệp	4.0		
419		CI4477	Đồ án tốt nghiệp	4.0		
420		CI4487	Đồ án tốt nghiệp	4.0		
421		CI4497	Đô? án tô?t nghiê?p	4.0		
422		CI5001	Đồ án chuyên ngành	2.0		
423		CI5005	Đồ án chuyên ngành	2.0		
424		CI5013	Ky Thuat Ha Tang Do Thi	3.0		
425		CI5015	C/tr Xanh,k/g,a/t & A/s	3.0		
426		CI5017	Luận văn tốt nghiệp	9.0		
427		CI5027	Luận văn tốt nghiệp	9.0		
428		CI5035	Kỹ thuật xử lý nước thải	3.0		
429		CI5037	Đ/g t/động & rủi ro m/t	3.0		
430		CI5041	Kiểm toán nl công trình	3.0		
431		CI5081	Cơ học đất nâng cao 2	2.0		
432		CI5085	Cơ học đá	2.0		
433		CI5087	Đào sâu trong đất	2.0		
434		CI5089	Tường chắn đất	2.0		
435		CI5095	Tính toán công trình ngầm	2.0		
436		CI5097	Kỹ thuật xử lý nền đất yếu	2.0		
437		CI5099	Ổn định mái dốc	2.0		
438		CI5101	Lý thuyết dẻo trong đất	2.0		
439		CI5115	Ứng dụng tính toán mềm trong quản lý xây dựng	3.0		
440		CI5129	Cơ học đất nâng cao 1	3.0		
441		CI5137	Quản lý dự án xây dựng nâng cao	3.0		
442		CI5139	Quản lý rủi ro trong xây dựng	3.0		
443		CI5141	Thống kê ứng dụng trong quản lý xây dựng	3.0		
444		CI5143	Hệ thống văn bản qui phạm pháp luật trong xây dựng tại Việt Nam	3.0		
445		CI5149	Các chủ đề và phương pháp nghiên cứu trong quản lý xây dựng	3.0		
446		CI5151	Phân tích định lượng trong quản lý xây dựng	2.0		
447		CI5165	Vật liệu và công nghệ xây dựng công trình giao thông	3.0		
448		CI5169	Quy hoạch mạng lưới đường	3.0		
449		CI5177	Đường hầm nâng cao	3.0		
450		CI5183	Đánh giá chất lượng và khai thác đường	3.0		
451		CI5213	Quản lý và kiểm tra chất lượng vật liệu cho công trình xây dựng	2.0		
452		CI5239	Phát triển bền vững trong xây dựng	3.0		
453		CI5241	BIM và tin học ứng dụng trong QLXD	3.0		
454		CI5247	Kết cấu bê tông cốt thép nâng cao	3.0		
455		CI5249	Phương pháp phần tử hữu hạn nâng cao	3.0		
456		CI5251	Động lực học kết cấu nâng cao	3.0		
457		CI5253	Kết cấu tấm vỏ	3.0		
458		CI5259	Cơ học vật rắn biến dạng	3.0		
459		CI5267	Kiểm định chất lượng công trình xây dựng	3.0		
460		CI5269	Tác động của gió lên công trình	3.0		
461		CI5273	Ăn mòn và chống ăn mòn bê tông cốt thép nâng cao	3.0		
462		CI5279	Thiết kế kháng chấn cho công trình	3.0		
463		CI5303	Phương pháp phần tử hữu hạn trong địa kỹ thuật xây dựng	5.0		
464		CI5323	Thực tập 1	3.0		
465		CI5325	Thực tập 2	3.0		
466		CI5331	Thực tập 1	3.0		
467		CI5333	Vật liệu và công nghệ xây dựng công trình giao thông nâng cao	3.0		
468		CI5351	Thực tập kỹ thuật 1	3.0		
469		CI5353	Thực tập kỹ thuật 2	3.0		
470		CI5367	Kết cấu nhà cao tầng	3.0		
